# Added context-transfer prompts; existing exercise IDs retained.
F01-3|Start with the decision in this new scenario: A library wants to allocate staff. Compare predicting next-hour arrivals, grouping branches by usage, and compressing correlated usage measures. Specify whether X/y exist and name the Python objects you would prepare for each.|Use the Python distinction taught in F01 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|Prediction needs historical arrival outcomes y aligned to available X. Grouping uses a feature dataframe without a target. PCA also has no y but creates new coordinates rather than groups. Ask whether the team needs a forecast, a segmentation or a compact representation before selecting a method.
F03-3|Start with the decision in this new scenario: A fitted delivery model is reused for a second city with different traffic. Would calling predict on the new city learn its traffic pattern? Explain which Python call changes coefficients and what evidence is needed before trusting a refit.|Use the Python distinction taught in F03 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|predict reuses the old coefficients; fit estimates new coefficients from labelled training data. A refit on new-city training rows must still be evaluated on held-away rows representing the intended use. Neither executing fit nor finding a new slope establishes that the model generalises.
F06-3|Start with the decision in this new scenario: A handwriting classifier gets 99% on training images and 62% on validation images from unseen writers. Propose a repair and explain why splitting images randomly across the same writers may answer an easier question.|Use the Python distinction taught in F06 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|The gap suggests poor generalisation. Simplify or regularise using training validation; inspect writer differences and input quality. Keep writers disjoint if the intended use is new writers. Random image splitting may leak writer-specific information and overstate performance on unfamiliar writers.
F08-3|Start with the decision in this new scenario: A hospital stores ward names as 1, 2 and 3. A transport table stores trip duration as whole minutes. Choose classifier or regressor for each, and explain which Python dtype alone cannot tell you.|Use the Python distinction taught in F08 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|Ward codes represent unordered class labels, so classification is appropriate. Whole-minute durations still represent a quantity and support regression. An integer dtype does not identify the scientific task; use the data dictionary and intended interpretation of prediction errors.
W01-3|Start with the decision in this new scenario: Training data from a second support centre contain mostly urgent tickets, while deployment includes routine tickets. What would value_counts on y_train reveal, and what would it not establish about deployment?|Use the Python distinction taught in W01 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|value_counts describes the supplied training-label distribution. It cannot prove that deployment has the same mix or that the sample is representative. Request collection and sampling context, compare relevant independent evidence, and qualify the scope of the model rather than inspecting final rows to redesign it.
W10-3|Start with the decision in this new scenario: A colleague sets max_depth=8 before fitting, then reads feature_importances_. Identify the setting and learned attribute, and explain why neither alone tells you whether the model will work on a new workshop.|Use the Python distinction taught in W10 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|max_depth is a chosen hyperparameter; feature_importances_ is learned during fit. The setting limits complexity and the attribute summarises fitted split reductions. Generalisation to a new workshop needs appropriate validation and population evidence, not just these configuration or fitted-state values.
R06-3|Start with the decision in this new scenario: A house-price model includes both floor area in square metres and the same area in square feet. Explain why coefficients may be unstable, propose a feature repair, and state what would decide whether prediction quality changed.|Use the Python distinction taught in R06 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|The two columns encode the same signal, making individual coefficients non-identifiable or unstable. Keep one unit representation or use a deliberately regularised model. Compare held-out training-fold predictions and errors on matching rows; a changed coefficient does not itself prove a changed predictive relationship.
R11-3|Start with the decision in this new scenario: A model predicts exam scores from study time. Rewrite a claim that increasing study time by one hour will cause exactly the fitted coefficient’s increase for every student. What study would support the stronger claim?|Use the Python distinction taught in R11 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|The coefficient is a modelled association conditional on included features, not an individual causal guarantee. Confounding, measurement and population limits remain. A suitable intervention or defensible causal design would be needed for an effect claim; prediction validation alone cannot supply it.
C19-3|Start with the decision in this new scenario: A small three-class dataset has 40 highly correlated measurements and only 12 examples in one class. Explain why fitting a class-specific covariance may fail, and choose a simpler next experiment without consulting final-test scores.|Use the Python distinction taught in C19 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|A class covariance can be singular or unstable with too few independent observations relative to dimensions. Consider a supported simpler family such as LDA or logistic regression, or a justified training-only representation, and compare using matched training folds. Regularisation choices must be supported by the implementation; do not invent unsupported Playground settings.
N01-3|Start with the decision in this new scenario: A laboratory needs one predicted concentration; a recycling centre needs one of four material labels. Choose the neural output task and explain why assigning material codes 0–3 does not turn them into a measured quantity.|Use the Python distinction taught in N01 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|Concentration uses a regression output in the target units; material labels use classification outputs aligned to classes. Arbitrary numeric category codes do not imply meaningful distances or averages. Select MLPRegressor versus MLPClassifier from the question rather than the storage dtype.
U01-3|Start with the decision in this new scenario: A retailer asks for customer segments; another asks whether a customer will cancel next month. Explain why the second needs historical outcomes while the first does not, and why a cluster ID is not automatically a cancellation probability.|Use the Python distinction taught in U01 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|Segmentation fits similarities in X without y. Cancellation prediction requires a defined outcome, horizon and available inputs, with supervised validation. Cluster identifiers are arbitrary group names; interpreting them as risk probabilities needs separate outcome evidence and an appropriate prediction evaluation.
U06-3|Start with the decision in this new scenario: Customers lie along a curved spending continuum with no obvious gaps. K-Means finds four compact groups. Explain how to inspect whether the groups are useful, and why a high score cannot establish four natural customer types.|Use the Python distinction taught in U06 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|K-Means approximates distance geometry with compact regions and can divide a continuum. Inspect original-unit profiles, sizes, stability and the business purpose. Silhouette or inertia supports a geometric comparison; it does not establish that a unique set of natural customer categories exists.
U10-3|Start with the decision in this new scenario: A hierarchy on a sample of urban shops produces three groups. A report claims that every rural shop belongs to those same three types. Rewrite it with a defensible population boundary and name further evidence needed.|Use the Python distinction taught in U10 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|The hierarchy describes the sampled urban shops under the chosen features, scaling and cut. It does not automatically assign or validate rural shops. Seek representative rural measurements, compare their distributions and assess whether a comparable grouping is useful before generalising the claim.
P01-3|Start with the decision in this new scenario: A sensor system needs fewer storage dimensions; an operations team wants named equipment groups. Which request suits PCA and which suits clustering? Explain the difference between an array of component scores and an array of group labels.|Use the Python distinction taught in P01 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|PCA produces continuous coordinates that combine original measurements and retain selected variation. Clustering produces group assignments under a similarity definition. Compression is not the same as segmentation; neither supplies a future failure target or a supervised prediction guarantee.
M04-3|Start with the decision in this new scenario: A model validated on current customers is proposed for applicants rejected under an earlier policy. Name two reasons its evidence may not transfer and describe what a responsible next study must collect.|Use the Python distinction taught in M04 to separate stored values, fitted state and evaluation evidence.|Name the intended use, identify the relevant boundary, then justify one defensible next action for this scenario.|Selection into the observed customer sample and a changed policy can alter both input distributions and outcome relationships. Rejected applicants may lack observed outcomes. Establish the intended population, measurement availability and a defensible data-collection/evaluation design; a familiar feature schema does not establish transportability.
